0,Академический,1237,193,Не было,5,691,18,2,1200
1,Алексеевский,1122,256,4,Нет данных,Нет данных,16,Нет данных,1076
2,Алтуфьевский,748,156,2,5,274,23,Нет данных,852
3,Арбат,2396,382,Нет данных,3,784,47,6,1158
4,Аэропорт,853,167,Не было,Нет данных,405,18,Не было,1336
5,Бабушкинский,859,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1204
6,Басманный,1970,501,2,7,Нет данных,66,10,1840
7,Беговой,1360,204,2,Нет данных,Нет данных,21,Нет данных,1520
8,Бескудниковский,Нет данных,201,Нет данных,11,305,14,Не было,1009
9,Бибирево,Нет данных,201,1,5,278,27,2,727
10,Бирюлево Восточное,663,145,2,6,247,18,3,820
11,Бирюлево Западное,723,Нет данных,1,Нет данных,245,18,Нет данных,751
12,Богородское,876,211,3,Нет данных,429,15,Нет данных,1353
13,Братеево,580,155,Не было,2,270,9,Не было,561
14,Бутырский,917,173,Не было,7,297,21,1,973
15,Вешняки,1722,Нет данных,Нет данных,5,Нет данных,49,1,873
16,Внуково,912,245,Нет данных,Нет данных,376,8,Не было,1032
17,Войковский,1123,202,Не было,Нет данных,Нет данных,Нет данных,Нет данных,1344
18,Восточное Дегунино,657,164,Нет данных,Нет данных,Нет данных,11,Нет данных,672
19,Восточное Измайлово,1023,Нет данных,3,5,Нет данных,17,4,1224
20,Восточный,1358,256,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1832
21,Выхино-Жулебино,880,233,2,3,426,15,5,731
22,Гагаринский,984,240,1,2,465,7,4,1031
23,Головинский,881,246,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1191
24,Гольяново,992,266,2,6,441,15,7,1074
25,Даниловский,1817,Нет данных,1,8,Нет данных,25,5,1343
26,Дмитровский,813,177,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,934
27,Донской,1432,202,Нет данных,4,668,12,2,1350
28,Дорогомилово,983,242,5,3,488,22,3,1237
29,Замоскворечье,Нет данных,457,2,2,1056,46,12,1499
30,Западное Дегунино,1091,191,Нет данных,Нет данных,Нет данных,14,6,939
31,Зюзино,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1249
32,Зябликово,599,126,Не было,2,243,11,2,596
33,Ивановское,1350,313,Нет данных,8,618,26,Нет данных,854
34,Измайлово,1796,393,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1419
35,Капотня,896,Нет данных,3,12,371,12,Не было,807
36,Коньково,923,225,1,4,457,12,4,883
37,Коптево,938,138,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1313
38,Косино-Ухтомский,1549,Нет данных,Нет данных,Нет данных,704,20,7,753
39,Котловка,899,Нет данных,Нет данных,Нет данных,388,Нет данных,Нет данных,1343
40,Красносельский,3265,666,Нет данных,16,Нет данных,138,Нет данных,1410
41,Крылатское,454,Нет данных,Нет данных,1,204,8,1,606
42,Крюково,1224,Нет данных,Нет данных,Нет данных,461,Нет данных,Нет данных,905
43,Кузьминки,959,323,1,7,464,25,14,1240
44,Кунцево,805,175,1,8,376,15,3,1084
45,Куркино,1114,225,Не было,3,550,15,Нет данных,1252
46,Левобережный,1557,Нет данных,4,2,525,40,Нет данных,690
47,Лефортово,1452,359,2,Нет данных,769,7,Нет данных,880
48,Лианозово,998,274,Нет данных,5,Нет данных,14,3,705
49,Ломоносовский,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1047
50,Лосиноостровский,697,Нет данных,Нет данных,Нет данных,233,10,Нет данных,1124
51,Люблино,934,327,1,6,421,28,7,979
52,Марфино,1147,251,Нет данных,Нет данных,507,31,Нет данных,1412
53,Марьина Роща,1139,Нет данных,Нет данных,1,Нет данных,21,Нет данных,1113
54,Марьино,961,185,2,Нет данных,501,22,4,649
55,Метрогородок,839,244,Не было,Не было,355,26,Нет данных,1340
56,Мещанский,3052,534,Не было,8,1147,33,3,1645
