mart_1.id,mart_1.price,mart_1.district,mart_1.rooms,mart_1.total_area,mart_1.current_floor,mart_1.max_floor,mart_1.build_year,mart_1.bath,mart_1.repair,mart_1.window_type,mart_1.places_total
1,6000000,Щербинка,1.0,,3,5,1974.0,1 совмещенный,Косметический,Во двор,0
13,6999990,Коммунарка поселок,,,10,16,2022.0,1 совмещенный,Косметический,Во двор,0
50,3756000,Старое Крюково,,,2,9,,1 совмещенный,Косметический,На улицу и двор,0
65,4300000,Текстильщики,,,1,5,1957.0,1 совмещенный,Косметический,Во двор,0
76,6800000,Очаково-Матвеевское,,,8,9,,1 совмещенный,Евроремонт,На улицу,0
82,4650000,Старое Крюково,,,4,9,,1 совмещенный,Евроремонт,На улицу,0
90,6500000,Рязановское поселение,,,13,13,2021.0,1 совмещенный,Косметический,На улицу,0
93,6200000,Десеновское поселение,,28.0,11,16,2022.0,1 совмещенный,Косметический,Во двор,0
121,5700000,Сосенское поселение,,,6,9,2022.0,1 совмещенный,Без ремонта,Во двор,0
133,6200000,Филимонковское поселение,,,8,9,,1 совмещенный,Косметический,Во двор,0
134,6050000,Сосенское поселение,,,8,9,2022.0,1 совмещенный,Без ремонта,Во двор,0
135,6535000,Десеновское поселение,,,17,17,2022.0,1 совмещенный,Без ремонта,Во двор,0
138,5990000,Сосенское поселение,,,6,14,2022.0,1 совмещенный,Без ремонта,Во двор,0
153,6500000,Сосенское поселение,,,10,17,2022.0,1 совмещенный,Без ремонта,,19
154,5835000,Сосенское поселение,,,2,9,2022.0,1 совмещенный,Косметический,Во двор,0
157,6450000,Рязановское поселение,,,5,11,,,Косметический,Во двор,0
181,4250000,Отрадное,,,1,12,1976.0,1 совмещенный,Косметический,Во двор,0
190,6700000,Текстильщики,,,5,23,,1 совмещенный,Евроремонт,Во двор,0
215,6850000,Филимонковское поселение,,,3,4,2021.0,1 совмещенный,Дизайнерский,Во двор,0
217,7000000,Коммунарка поселок,,,15,17,2020.0,1 совмещенный,Евроремонт,Во двор,0
228,3800000,Новогиреево,,12.0,1,5,1960.0,1 совмещенный,Косметический,На улицу и двор,0
249,4300000,Выхино-Жулебино,,16.0,2,12,1995.0,1 совмещенный,Косметический,На улицу,0
253,4500000,Очаково-Матвеевское,,,6,9,,1 совмещенный,Евроремонт,Во двор,0
258,4350000,Южное Бутово,,,2,14,1996.0,1 совмещенный,Косметический,Во двор,0
261,4700000,Южное Бутово,,,2,14,1996.0,1 раздельный,Евроремонт,,0
266,4550000,Ростокино,,19.0,1,5,1956.0,1 совмещенный,Евроремонт,Во двор,0
267,4550000,Ново-Переделкино,,,1,17,1990.0,1 совмещенный,Евроремонт,Во двор,0
273,4800000,Вешняки,,,1,9,1970.0,1 совмещенный,Косметический,На улицу и двор,0
301,5400000,Нагатино-Садовники,,,1,8,1960.0,1 совмещенный,Без ремонта,На улицу,1
303,5300000,Зюзино,,,1,9,1964.0,1 совмещенный,Без ремонта,Во двор,0
308,5500000,Кузьминки,,,3,5,,1 совмещенный,Евроремонт,На улицу,0
317,5814000,Старое Крюково,,,2,9,,1 совмещенный,Косметический,На улицу,0
324,6000000,Северное Медведково,,19.0,5,12,1981.0,1 совмещенный,Косметический,На улицу,0
330,5900000,Рязановское поселение,,22.0,7,9,,1 совмещенный,Евроремонт,Во двор,0
339,6200000,Сосенское поселение,,19.0,11,16,2023.0,1 совмещенный,Без ремонта,На улицу,0
355,6450000,Нижегородский,,14.0,3,5,1975.0,,Косметический,,0
374,6700000,Нижегородский,,15.0,3,5,1975.0,,Косметический,,0
382,6710000,Кузьминки,,,2,5,1971.0,1 раздельный,Евроремонт,,0
396,6950000,Коммунарка поселок,,,6,22,2016.0,1 совмещенный,Евроремонт,Во двор,0
400,6900000,Десеновское поселение,,,7,17,2018.0,,Косметический,На улицу,0
410,7000000,Нижегородский,,16.0,2,5,1975.0,,Косметический,,0
432,3400000,Северное Бутово,,,1,22,1992.0,,Косметический,,0
463,6800000,Московский поселение,,,6,22,2022.0,1 совмещенный,Без ремонта,На улицу,5
474,14990000,Тимирязевский,,,24,30,2021.0,1 совмещенный,Без ремонта,На улицу,1
482,19000000,Басманный,,,1,7,1934.0,,Косметический,,17
487,14800000,Филевский парк,,30.0,10,29,2020.0,1 совмещенный,Евроремонт,Во двор,0
525,8000000,Сосенское поселение,,27.0,4,15,2019.0,1 совмещенный,Евроремонт,На улицу,0
532,8300000,Сосенское поселение,,,6,15,2021.0,1 совмещенный,Дизайнерский,На улицу и двор,0
533,9000000,Южнопортовый,,,25,30,2021.0,1 совмещенный,Без ремонта,На улицу,2
536,8700000,Московский поселение,,,16,22,2021.0,1 совмещенный,Дизайнерский,На улицу,5
544,22500000,Басманный,,,1,8,1934.0,1 совмещенный,Без ремонта,На улицу и двор,17
552,11500000,Раменки,,29.0,31,37,2021.0,1 совмещенный,Без ремонта,На улицу,0
555,9000000,Люблино,,27.0,8,16,2019.0,1 совмещенный,Евроремонт,На улицу,0
576,12200000,Ховрино,,30.0,19,32,2021.0,1 совмещенный,Без ремонта,На улицу,0
580,8000000,Нагатино-Садовники,,27.0,1,9,1968.0,,Евроремонт,На улицу и двор,0
581,7200000,Сосенское поселение,,22.0,14,16,2019.0,1 совмещенный,Евроремонт,На улицу и двор,0
584,7490000,Дмитровский,,,29,33,,,Косметический,,0
587,9000000,Северный,,,4,14,2017.0,1 совмещенный,Евроремонт,,0
589,19500000,Красносельский,,,4,22,2022.0,,Без ремонта,Во двор,2
591,14600000,Лефортово,,30.0,3,13,2019.0,1 совмещенный,Косметический,На улицу,1
598,7250000,Ново-Переделкино,,28.0,2,6,2014.0,1 совмещенный,Евроремонт,Во двор,0
613,11300000,Очаково-Матвеевское,,,10,33,,,Евроремонт,,0
623,9800000,Пресненский,,15.0,1,6,1929.0,1 совмещенный,Дизайнерский,Во двор,0
625,8900000,Зябликово,,,24,30,2021.0,1 совмещенный,Без ремонта,Во двор,0
643,11500000,Хорошевский,,27.0,5,27,2022.0,1 совмещенный,Без ремонта,На улицу,0
650,8200000,Гольяново,,,36,39,2020.0,1 совмещенный,Дизайнерский,На улицу и двор,0
662,9500000,Внуковское поселение,,28.0,18,24,2021.0,1 совмещенный,Евроремонт,Во двор,0
671,9500000,Западное Дегунино,,,6,26,2021.0,1 совмещенный,Евроремонт,На улицу,0
688,7500000,Коммунарка поселок,,,7,9,2020.0,1 совмещенный,Евроремонт,Во двор,0
694,13000000,Хамовники,,,2,4,1900.0,1 совмещенный,Евроремонт,Во двор,5
701,9900000,Западное Дегунино,,26.0,3,39,2021.0,1 совмещенный,Без ремонта,Во двор,1
703,11163906,Останкинский,,,3,11,2022.0,1 совмещенный,Косметический,,0
705,10700000,Раменки,,28.0,17,41,2022.0,1 совмещенный,Без ремонта,Во двор,0
706,10200000,Хорошево-Мневники,,,11,36,2021.0,1 совмещенный,Без ремонта,Во двор,0
740,8700000,Солнцево,,,4,14,2019.0,1 совмещенный,Косметический,На улицу,0
749,7600000,Молжаниновский,,,6,14,2023.0,,Без ремонта,На улицу,0
750,7670000,Московский поселение,,20.0,5,15,2019.0,1 совмещенный,Косметический,Во двор,5
770,12500000,Южнопортовый,,,12,30,2021.0,,Евроремонт,Во двор,2
771,7990000,Чертаново Южное,,23.0,5,26,2016.0,1 совмещенный,Дизайнерский,Во двор,0
775,7400000,Люблино,,,6,25,2022.0,1 совмещенный,Косметический,,0
791,11300000,Солнцево,,34.0,12,25,2018.0,1 совмещенный,Евроремонт,На улицу,0
795,7199000,Московский поселение,,,18,21,2021.0,1 совмещенный,Без ремонта,На улицу,0
831,15800000,Мещанский,,19.0,1,5,1997.0,1 совмещенный,Дизайнерский,Во двор,8
847,21000000,Мещанский,,,1,5,1997.0,1 совмещенный,Евроремонт,,8
853,19500000,Якиманка,,36.0,4,9,1965.0,1 совмещенный,Дизайнерский,На улицу и двор,1
858,37500000,Даниловский,,54.0,1,21,2016.0,1 совмещенный,Дизайнерский,Во двор,4
866,7180000,Десеновское поселение,,,8,17,2022.0,1 совмещенный,Без ремонта,Во двор,0
870,7200000,Можайский,,24.0,4,5,1968.0,1 совмещенный,Евроремонт,Во двор,0
885,7450000,Люблино,,,6,25,2022.0,1 раздельный,Косметический,,0
897,7700000,Отрадное,,20.0,25,33,,1 раздельный,Косметический,,0
899,7690000,Дмитровский,,,29,33,,1 совмещенный,Евроремонт,,0
927,7800000,Южное Бутово,1.0,40.0,4,14,1996.0,1 раздельный,Косметический,Во двор,0
929,7500000,Сосенское поселение,1.0,,8,14,2021.0,1 совмещенный,Без ремонта,,0
958,7980000,Московский,1.0,38.0,4,17,2008.0,1 совмещенный,Косметический,Во двор,0
959,7024000,Троицк,1.0,,4,4,,1 совмещенный,Без ремонта,Во двор,0
980,7100000,Соколиная гора,1.0,17.0,4,5,1962.0,1 совмещенный,Евроремонт,На улицу,0
981,7000000,Вешняки,1.0,,9,9,1973.0,1 совмещенный,Косметический,Во двор,0
998,7300000,Филимонковское поселение,1.0,36.0,6,9,2021.0,1 совмещенный,Косметический,На улицу,0
1001,7750000,Московский,1.0,,2,25,2022.0,1 совмещенный,Без ремонта,На улицу,0
1008,7050000,ш. Рязановское,1.0,,13,13,2021.0,1 совмещенный,Евроремонт,,0
1038,7500000,Бирюлево Западное,1.0,,4,12,1974.0,1 раздельный,Косметический,Во двор,0
1042,7350000,Южное Бутово,1.0,,3,12,1999.0,1 совмещенный,Косметический,Во двор,0
1044,7500000,Десеновское поселение,1.0,30.0,3,14,,1 раздельный,Косметический,Во двор,0
1048,7400000,Кузьминки,1.0,,1,9,1962.0,1 совмещенный,Косметический,Во двор,1
1054,8000000,Бирюлево Восточное,1.0,36.0,2,12,1975.0,1 совмещенный,Косметический,Во двор,0
1059,8000000,Нижегородский,1.0,,1,9,1970.0,1 совмещенный,Косметический,Во двор,0
1066,7990000,Северное Измайлово,1.0,32.0,1,6,1962.0,,Косметический,,0
1080,7900000,Выхино-Жулебино,1.0,,10,12,1973.0,1 совмещенный,Без ремонта,На улицу и двор,0
1084,7750000,Капотня,1.0,32.0,4,9,,1 совмещенный,Косметический,,0
1095,7600000,Люблино,1.0,,8,9,1980.0,1 совмещенный,Косметический,На улицу,0
1105,7400000,Московский поселение,1.0,32.0,1,17,2021.0,1 совмещенный,,На улицу,5
1113,7552500,Люблино,1.0,,7,9,1980.0,1 совмещенный,Косметический,Во двор,0
1117,5191000,Новофедоровское поселение,1.0,,1,3,2022.0,1 совмещенный,Без ремонта,На улицу и двор,0
1143,4900000,Новофедоровское поселение,1.0,,3,3,2021.0,1 совмещенный,Без ремонта,Во двор,0
1152,5790000,Филимонковское поселение,1.0,,1,4,2021.0,1 совмещенный,Без ремонта,Во двор,0
1166,5730000,Рязановское поселение,1.0,,2,5,1987.0,,,,15
1184,5750000,Новофедоровское поселение,1.0,,3,3,2021.0,1 совмещенный,Без ремонта,,0
1199,6570000,Десеновское поселение,1.0,,14,18,2022.0,1 совмещенный,Без ремонта,,0
1202,6550000,Десеновское поселение,1.0,,10,17,2022.0,1 совмещенный,Косметический,Во двор,0
1215,6700000,Перово,1.0,,4,5,1964.0,1 совмещенный,Без ремонта,На улицу,0
1221,9000000,Бирюлево Восточное,1.0,,10,16,2004.0,1 раздельный,Косметический,Во двор,0
1229,8989000,Северное Тушино,1.0,,5,9,1967.0,,Косметический,Во двор,0
1264,8470000,Братеево,1.0,,2,14,1986.0,1 раздельный,Косметический,Во двор,0
1266,8500000,Сосенское поселение,1.0,35.0,4,14,2021.0,1 совмещенный,Евроремонт,Во двор,0
1270,8300000,Бирюлево Восточное,1.0,39.0,2,12,1983.0,1 раздельный,,На улицу,0
1283,9000000,Выхино-Жулебино,1.0,34.0,9,9,1968.0,1 совмещенный,Дизайнерский,Во двор,1
1293,9000000,Марьино,1.0,,16,16,2000.0,1 раздельный,Дизайнерский,Во двор,0
