id,address,places
4686,Москва ЮВАО р-н Лефортово ул. Золоторожский Вал 11к16,0
21502,Москва ЮВАО р-н Южнопортовый ул. Трофимова 33,0
13637,Москва ЦАО р-н Таганский Абельмановская ул. 6,1
16861,Москва ЮАО р-н Братеево Ключевая ул. 8К2,0
7913,Москва ЮЗАО р-н Теплый Стан ул. Теплый Стан 14/2,0
10699,Москва НАО (Новомосковский) Внуковское поселение ул. Анны Ахматовой 11к1,0
25709,Москва СЗАО р-н Хорошево-Мневники Карамышевская наб. 2А,2
2348,Москва ЮВАО р-н Марьино Донецкая ул. 27,0
6311,Москва ЮВАО р-н Люблино Таганрогская ул. 7,0
13018,Москва ЮАО р-н Даниловский Духовской пер. 22А,2
2007,Москва САО р-н Дмитровский Ангарская ул. 57К1,0
5629,Москва СВАО р-н Южное Медведково ул. Молодцова 31К1,0
18629,Москва ЮВАО р-н Рязанский ул. Маевок 1к2,0
11149,Москва ЮАО р-н Нагатинский затон Нагатинская наб. 40/1,0
8700,Москва ЮАО р-н Москворечье-Сабурово Кантемировская ул. 4К1,0
3037,Москва ЮЗАО р-н Южное Бутово Старокрымская ул. 15к2,0
7224,Москва ЗАО р-н Проспект Вернадского Ленинский просп. 130К1,0
20907,Москва СВАО р-н Северный 9-я Северная линия 14,0
6105,Москва ВАО р-н Богородское 3-я Богатырская ул. 21,0
27383,Москва ЦАО р-н Пресненский Сытинский туп. 1С4,7
5664,Москва ТАО (Троицкий) Новофедоровское поселение ул. Генерала Донскова 8,0
25726,Москва ЦАО р-н Мещанский Большой Сергиевский пер. 11,7
18774,Москва САО р-н Западное Дегунино Ильменский проезд 14к8,1
9369,Москва СВАО р-н Марфино ул. Академика Комарова 1А,0
6076,Москва НАО (Новомосковский) Коммунарка поселок 15,1
3985,Москва ЮАО р-н Нагатино-Садовники Нагатинская наб. 10к1,0
9846,Москва ЮВАО р-н Марьино Мячковский бул. 31/19,0
9178,Москва НАО (Новомосковский) Внуковское поселение ул. Летчика Грицевца 16,2
10538,Москва ЮАО р-н Орехово-Борисово Южное Домодедовская ул. 27,0
5531,Москва ЮЗАО р-н Ясенево проезд Карамзина 1К1,0
7249,Москва СЗАО р-н Щукино ул. Ирины Левченко 2,0
29165,Москва ЗАО р-н Раменки просп. Генерала Дорохова 39к1Г,0
25974,Москва ЦАО р-н Пресненский Рочдельская ул. 11/5,1
9578,Москва НАО (Новомосковский) Московский мкр. Первый Московский Город-Парк ул. Бианки 4К2,1
28057,Москва ЦАО р-н Хамовники Малая Пироговская ул. 8,5
20506,Москва ЗАО р-н Солнцево ул. Богданова 2к1,0
22924,Москва СВАО р-н Бутырский Новодмитровская ул. 2к5,5
6153,Москва ВАО р-н Вешняки Реутовская ул. 2/1,0
23671,Москва ЦАО р-н Хамовники ул. Пречистенка 40/2С4,1
12100,Москва САО р-н Восточное Дегунино Бескудниковский бул. 8К4,1
9598,Москва НАО (Новомосковский) Сосенское поселение просп. Куприна 40к1,0
20281,Москва ЗАО р-н Солнцево Производственная ул. 10к2,0
18475,Москва НАО (Новомосковский) Внуковское поселение ул. Анны Ахматовой 11к1,0
26305,Москва СЗАО р-н Хорошево-Мневники просп. Маршала Жукова 43К3,0
2741,Москва НАО (Новомосковский) Внуковское поселение ул. Самуила Маршака 21,0
18344,Москва СВАО р-н Свиблово проезд Нансена 6К2,0
7900,Москва САО р-н Савеловский ул. Нижняя Масловка 14,0
13862,Москва ЗАО р-н Ново-Переделкино Чоботовская ул. 2к3,0
7958,Москва ЮАО р-н Нагатино-Садовники ул. Садовники 10,1
14736,Москва ВАО р-н Гольяново Амурская ул. 1Ак2,0
23292,Москва САО р-н Хорошевский ул. Гризодубовой 2,1
18978,Москва ЮВАО р-н Рязанский ул. Михайлова 30Ак4,1
14624,Москва ЦАО р-н Пресненский Мукомольный проезд 2,1
24933,Москва ЗАО р-н Раменки ул. Лобачевского 120к1,0
17072,Москва НАО (Новомосковский) Московский поселение Филатов Луг жилой комплекс ул. Картмазовские Пруды 2к1,0
20393,Москва ЮЗАО р-н Академический ул. Винокурова 12К3,0
3186,Москва САО р-н Войковский ул. Клары Цеткин 9К1,0
20338,Москва ВАО р-н Сокольники ул. Короленко 6Б,0
1613,Москва НАО (Новомосковский) Рязановское поселение ш. Остафьевское 12к1,0
18183,Москва ЮВАО р-н Выхино-Жулебино Привольная ул. 5К3,1
12457,Москва НАО (Новомосковский) Сосенское поселение просп. Магеллана 3,1
7559,Москва ЦАО р-н Таганский Средняя Калитниковская ул. 10,0
9497,Москва НАО (Новомосковский) Сосенское поселение ул. Сальвадора Дали 1к3,19
22318,Москва ЮАО р-н Даниловский Павелецкая наб. 6А,0
23288,Москва НАО (Новомосковский) Внуковское поселение бул. Андрея Тарковского 11,0
20341,Москва СВАО р-н Лосиноостровский ул. Коминтерна 28к1,0
8976,Москва СВАО р-н Отрадное Алтуфьевское ш. 40А,0
12360,Москва ЮАО р-н Нагатино-Садовники Нагатинская наб. 10к1,0
26085,Москва ЗАО р-н Очаково-Матвеевское Аминьевское ш. 4Дк2,0
22416,Москва САО р-н Хорошевский ул. Куусинена 21А,0
6589,Москва ЮЗАО р-н Коньково ул. Островитянова 43К2,0
20214,Москва ЗАО р-н Крылатское Рублевское ш. 70к1,0
4576,Москва ВАО р-н Сокольники ул. Барболина 6,0
28826,Москва ЦАО р-н Хамовники пер. 1-й Тружеников 16,0
16484,Москва САО р-н Войковский Ленинградское ш. 13К1,0
17211,Москва ЮАО р-н Зябликово Ореховый бул. 51,0
23736,Москва ЦАО р-н Красносельский Уланский пер. 14кБ,1
795,Москва НАО (Новомосковский) Московский поселение Филатов Луг жилой комплекс ул. Картмазовские Пруды 2к2,0
25994,Москва ЗАО р-н Тропарево-Никулино просп. Вернадского 94к5,0
21350,Москва ЦАО р-н Пресненский 2-я Брестская ул. 37С1,10
6461,Москва САО р-н Дмитровский ул. Софьи Ковалевской 8,0
20698,Москва ЮАО р-н Даниловский пер. Пересветов 4К2,0
27613,Москва САО р-н Хорошевский Чапаевский пер. 3,2
26280,Москва САО р-н Левобережный Ленинградское ш. 69к2,0
958,Москва НАО (Новомосковский) Московский мкр. Град Московский ул. Радужная 8,0
22941,Москва ЦАО р-н Арбат ул. Новый Арбат 30/9,12
8491,Москва НАО (Новомосковский) Внуковское поселение бул. Андрея Тарковского 11,0
23472,Москва ЦАО р-н Пресненский Звенигородское ш. 11,1
76,Москва ЗАО р-н Очаково-Матвеевское Аминьевское ш. 5,0
26985,Москва САО р-н Савеловский 1-я Квесисская ул. 9,0
22240,Москва ЗАО р-н Дорогомилово пл. Победы 2К2,1
2452,Москва ЮВАО р-н Лефортово Таможенный проезд 12,15
24342,Москва ЗАО р-н Тропарево-Никулино Никулинская ул. 9,0
