mart_3.id,mart_3.price,mart_3.district,mart_3.rooms,mart_3.total_area,mart_3.current_floor,mart_3.max_floor,mart_3.build_year,mart_3.bath,mart_3.repair,mart_3.window_type
0,7700000.0,Коммунарка поселок,,,22.0,27.0,2013.0,1 совмещенный,Косметический,Во двор
1,6000000.0,Щербинка,1.0,,3.0,5.0,1974.0,1 совмещенный,Косметический,Во двор
2,6000000.0,Очаково-Матвеевское,1.0,,6.0,16.0,1976.0,1 раздельный,Косметический,Во двор
3,8200000.0,Сосенское поселение,,,10.0,17.0,2022.0,1 совмещенный,Дизайнерский,Во двор
4,5450000.0,Ясенево,,21.0,1.0,9.0,1976.0,1 совмещенный,Евроремонт,На улицу и двор
5,5340000.0,Коньково,1.0,,5.0,15.0,1973.0,1 раздельный,Без ремонта,
6,6230000.0,Богородское,,,2.0,5.0,1955.0,1 совмещенный,Дизайнерский,
7,6960000.0,Богородское,,,2.0,5.0,1955.0,1 совмещенный,Дизайнерский,
8,6750000.0,Московский поселение,,,4.0,22.0,2021.0,,Без ремонта,На улицу
9,5500000.0,Выхино-Жулебино,,,8.0,10.0,,1 совмещенный,Дизайнерский,
10,6850000.0,ул. Красулинская,,,11.0,17.0,,,Косметический,
11,6190000.0,Сосенское поселение,,,5.0,9.0,2022.0,,Евроремонт,
12,4850000.0,Выхино-Жулебино,,,8.0,10.0,,1 совмещенный,Дизайнерский,
13,6999990.0,Коммунарка поселок,,,10.0,16.0,2022.0,1 совмещенный,Косметический,Во двор
14,6300000.0,Восточное Измайлово,,17.0,3.0,5.0,1952.0,1 совмещенный,Евроремонт,Во двор
15,6700000.0,Десеновское поселение,,,16.0,16.0,2022.0,1 совмещенный,Евроремонт,Во двор
16,6490000.0,Коммунарка поселок,,,3.0,14.0,2022.0,1 совмещенный,Косметический,Во двор
17,5900000.0,Некрасовка,,23.0,2.0,17.0,2020.0,1 совмещенный,Косметический,На улицу
18,6900000.0,Сосенское поселение,,,13.0,16.0,2022.0,1 совмещенный,Без ремонта,Во двор
19,5446000.0,Выхино-Жулебино,,,8.0,10.0,,1 совмещенный,Дизайнерский,
20,5625900.0,Выхино-Жулебино,,,8.0,10.0,,1 совмещенный,Дизайнерский,
21,6400000.0,Московский поселение,,25.0,20.0,22.0,2021.0,1 совмещенный,Косметический,
22,6800000.0,Коммунарка поселок,,20.0,14.0,17.0,2020.0,1 совмещенный,Косметический,Во двор
23,5565000.0,Кузьминки,,,5.0,5.0,1971.0,1 совмещенный,Дизайнерский,Во двор
24,5900000.0,Выхино-Жулебино,,15.0,8.0,10.0,,1 совмещенный,Дизайнерский,
25,5200000.0,Сосенское поселение,,,9.0,15.0,2021.0,1 совмещенный,Без ремонта,Во двор
26,6500000.0,Десеновское поселение,,,8.0,16.0,2022.0,1 совмещенный,Евроремонт,На улицу
27,5550000.0,Сосенское поселение,,,2.0,9.0,2022.0,1 совмещенный, 1 раздельный,Без ремонта
28,4640000.0,Очаково-Матвеевское,,,8.0,9.0,,,Евроремонт,Во двор
29,5200000.0,Ново-Переделкино,,23.0,1.0,17.0,1990.0,1 совмещенный,Косметический,
30,4750000.0,Митино,,,1.0,14.0,1999.0,1 совмещенный,Косметический,Во двор
31,6100000.0,Некрасовка,,,14.0,18.0,,1 совмещенный,Евроремонт,Во двор
32,6300000.0,Некрасовка,,,9.0,21.0,,1 совмещенный,Евроремонт,Во двор
33,2700000.0,Люблино,,12.0,1.0,9.0,1974.0,1 совмещенный,Косметический,Во двор
34,5190000.0,Сосенское поселение,,,8.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
35,6570000.0,Очаково-Матвеевское,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу
36,6800000.0,Московский поселение,,19.0,8.0,24.0,2020.0,1 совмещенный,Косметический,На улицу и двор
37,6400000.0,Московский поселение,,,15.0,22.0,2022.0,1 совмещенный,Без ремонта,На улицу
38,6490000.0,Лефортово,,19.0,1.0,5.0,1930.0,1 раздельный,Дизайнерский,На улицу
39,6700000.0,Десеновское поселение,,,4.0,14.0,2022.0,1 совмещенный,Косметический,Во двор
40,5590000.0,Кунцево,,,3.0,3.0,,1 совмещенный,Без ремонта,На улицу и двор
41,6300000.0,Кунцево,,20.0,8.0,25.0,,1 совмещенный,Евроремонт,На улицу
42,4290000.0,Крюково,,,2.0,10.0,2014.0,1 совмещенный,Без ремонта,Во двор
43,5900000.0,Очаково-Матвеевское,,,4.0,16.0,1993.0,1 совмещенный,Евроремонт,
44,5590000.0,Кунцево,,,1.0,3.0,,1 совмещенный,Без ремонта,Во двор
45,5490000.0,Кунцево,,,2.0,3.0,,,Без ремонта,Во двор
46,6599000.0,Московский поселение,,25.0,21.0,22.0,2022.0,,Без ремонта,На улицу
47,4350000.0,Южное Бутово,,19.0,2.0,17.0,1996.0,1 совмещенный,Евроремонт,
48,2699999.0,Щербинка,,,1.0,5.0,1968.0,1 совмещенный,Без ремонта,
49,3600000.0,Внуковское поселение,,20.0,2.0,3.0,,1 совмещенный,Косметический,На улицу
50,3756000.0,Старое Крюково,,,2.0,9.0,,1 совмещенный,Косметический,На улицу и двор
51,3500000.0,Старое Крюково,,11.0,3.0,9.0,,1 совмещенный,Косметический,На улицу
52,5925150.0,Кузьминки,,,2.0,5.0,1971.0,1 совмещенный,Дизайнерский,Во двор
53,6550000.0,Филимонковское поселение,,29.0,3.0,5.0,2021.0,1 совмещенный,Евроремонт,Во двор
54,6690000.0,Коммунарка поселок,,27.0,7.0,14.0,,1 совмещенный,Косметический,Во двор
55,6200000.0,Сосенское поселение,,,4.0,9.0,,1 совмещенный,Дизайнерский,На улицу
56,6600000.0,Кунцево,,20.0,13.0,25.0,,1 совмещенный,Евроремонт,На улицу
57,6800000.0,Коммунарка поселок,,20.0,14.0,17.0,2020.0,1 совмещенный,Косметический,Во двор
58,5450000.0,Кузьминки,,,4.0,5.0,,1 совмещенный,Евроремонт,На улицу и двор
59,5590000.0,Кунцево,,,1.0,3.0,,1 совмещенный,Без ремонта,На улицу и двор
60,5490000.0,Кунцево,,,2.0,3.0,,1 совмещенный,Без ремонта,На улицу и двор
61,4350000.0,Южное Бутово,,,2.0,14.0,1996.0,1 совмещенный,Евроремонт,Во двор
62,4000000.0,Гольяново,,,1.0,9.0,1967.0,1 совмещенный,Без ремонта,На улицу и двор
63,5096000.0,Кузьминки,,16.0,5.0,5.0,1971.0,1 совмещенный,Дизайнерский,Во двор
64,4929000.0,Старое Крюково,,,5.0,9.0,,1 совмещенный,Евроремонт,На улицу
65,4300000.0,Текстильщики,,,1.0,5.0,1957.0,1 совмещенный,Косметический,Во двор
66,6900000.0,Люблино,,,6.0,25.0,2021.0,1 совмещенный,Косметический,На улицу
67,6200000.0,Головинский,,,6.0,9.0,2019.0,1 совмещенный,Косметический,Во двор
68,5250000.0,Очаково-Матвеевское,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу и двор
69,6115000.0,Сосенское поселение,,,8.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
70,6000000.0,Рязановское поселение,,20.0,11.0,16.0,,1 совмещенный,Без ремонта,На улицу
71,4840000.0,Очаково-Матвеевское,,,2.0,9.0,,1 совмещенный,Евроремонт,На улицу и двор
72,4550000.0,Северное Тушино,,11.0,1.0,9.0,1971.0,1 совмещенный,Косметический,На улицу и двор
73,6800000.0,Сосенское поселение,,,11.0,18.0,2022.0,1 совмещенный,Без ремонта,На улицу
74,5000000.0,Сосенское поселение,,,3.0,16.0,2022.0,1 совмещенный,Без ремонта,Во двор
75,5900000.0,Филимонковское поселение,,,8.0,12.0,2019.0,1 совмещенный,Без ремонта,Во двор
76,6800000.0,Очаково-Матвеевское,,,8.0,9.0,,1 совмещенный,Евроремонт,На улицу
77,6100000.0,Десеновское поселение,,,6.0,13.0,2021.0,1 совмещенный,Евроремонт,На улицу
78,6999000.0,Очаково-Матвеевское,,20.0,4.0,9.0,,1 совмещенный,Дизайнерский,На улицу
79,6500000.0,Сосенское поселение,,,7.0,16.0,2022.0,1 совмещенный,Без ремонта,На улицу и двор
80,5472000.0,Кузьминки,,16.0,2.0,5.0,1971.0,1 совмещенный,Косметический,На улицу
81,4990000.0,Старое Крюково,,,8.0,9.0,,1 совмещенный,Косметический,На улицу и двор
82,4650000.0,Старое Крюково,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу
83,6995000.0,Сосенское поселение,,,7.0,16.0,2022.0,1 совмещенный, 1 раздельный,Без ремонта
84,6699000.0,Сосенское поселение,,19.0,11.0,16.0,,,Без ремонта,На улицу
85,6350000.0,ш. Рязановское,,,13.0,13.0,2021.0,1 совмещенный,Без ремонта,На улицу
86,6240000.0,Очаково-Матвеевское,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу
87,6500000.0,Десеновское поселение,,,3.0,17.0,2022.0,1 совмещенный,Косметический,Во двор
88,6790000.0,Кузьминки,,,3.0,5.0,1971.0,1 совмещенный,Евроремонт,На улицу и двор
89,6738000.0,Очаково-Матвеевское,,,5.0,9.0,,1 совмещенный,Евроремонт,Во двор
90,6500000.0,Рязановское поселение,,,13.0,13.0,2021.0,1 совмещенный,Косметический,На улицу
91,3919500.0,Старое Крюково,,,6.0,9.0,,1 совмещенный,Евроремонт,Во двор
92,6200000.0,Рязановское поселение,,,11.0,13.0,,1 совмещенный, 1 раздельный,Косметический
93,6200000.0,Десеновское поселение,,28.0,11.0,16.0,2022.0,1 совмещенный,Косметический,Во двор
